,City,Country,Photo,Overall Score,Quality of life score,Family score,Cost/month (USD),Internet Mbps,Fun,Safety,Education level,English speaking,Walkability,Peace,Traffic safety,Hospitals,Happiness,Nightlife,Free WiFi in city,Places to work from,Friendly to foreigners,Freedom of speech,Racial tolerance,Female friendly,LGBTQ friendly,Startup Score,Best taxi app in country,Best wireless carrier,Tipping,Cashless society,Safe tap water,Population,Temperature (°C) Jan,Temperature (°C) Feb,Temperature (°C) Mar,Temperature (°C) Apr,Temperature (°C) May,Temperature (°C) Jun,Temperature (°C) Jul,Temperature (°C) Aug,Temperature (°C) Sep,Temperature (°C) Oct,Temperature (°C) Nov,Temperature (°C) Dec
15,Buenos Aires,Argentina,https://nomadlist.com/assets/img/places/buenos-aires-argentina-500px.jpg,4.2,4,3,897.0,20.0,4.0,Okay,4.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,Uber,Claro,No,No,Yes,3100000.0,28,27,24,22,18,17,13,15,17,20,24,25
16,Auckland,New Zealand,https://nomadlist.com/assets/img/places/auckland-new-zealand-500px.jpg,4.18,4,4,2959.0,24.0,3.0,Good,5.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,Uber,2Degrees,,Yes,Yes,1600000.0,24,25,23,19,18,15,15,14,16,17,20,21
17,Melbourne,Australia,https://nomadlist.com/assets/img/places/melbourne-australia-500px.jpg,4.17,4,4,2967.0,14.0,5.0,Good,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,1.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,Uber,Hello,No,Yes,Yes,4200000.0,27,24,25,20,17,14,14,13,16,18,19,20
18,London,United Kingdom,https://nomadlist.com/assets/img/places/london-united-kingdom-500px.jpg,4.16,4,4,3898.0,20.0,5.0,Good,4.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,Uber,Three,No,Yes,Yes,8800000.0,5,10,11,13,17,19,22,22,19,14,9,9
19,Playa del Carmen,Mexico,https://nomadlist.com/assets/img/places/playa-del-carmen-mexico-500px.jpg,4.16,4,3,1167.0,12.0,5.0,Good,3.0,3.0,5.0,2.0,3.0,,4.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,3.0,Uber,TelCel,No,No,No,150000.0,26,28,29,29,30,31,32,32,31,31,29,28
20,"George Town, Penang",Malaysia,https://nomadlist.com/assets/img/places/george-town-penang-malaysia-500px.jpg,4.15,4,3,1102.0,19.0,3.0,Good,3.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,Grab,Hotlink,No,No,No,740000.0,30,31,31,32,31,31,31,31,31,30,30,30
21,Zagreb,Croatia,https://nomadlist.com/assets/img/places/zagreb-croatia-500px.jpg,4.13,4,3,1845.0,21.0,3.0,Good,4.0,3.0,5.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,Cammeo,Bonbon,No,Yes,Yes,790000.0,3,10,15,17,17,27,29,28,23,19,12,7
22,Moscow,Russia,https://nomadlist.com/assets/img/places/moscow-russia-500px.jpg,4.11,4,3,1778.0,17.0,5.0,Okay,4.0,3.0,5.0,1.0,2.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,3.0,Yandex,Megafon,No,Yes,No,13000000.0,-7,-2,1,10,21,24,20,21,14,11,4,-1
23,Budapest,Hungary,https://nomadlist.com/assets/img/places/budapest-hungary-500px.jpg,4.11,4,3,1447.0,44.0,4.0,Good,4.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,3.0,4.0,2.0,4.0,2.0,3.0,Taxify,TMobile,No,Yes,Yes,1800000.0,1,8,13,18,18,27,28,29,23,20,12,5
24,Kathmandu,Nepal,https://nomadlist.com/assets/img/places/kathmandu-nepal-500px.jpg,4.11,3,3,650.0,4.0,5.0,Good,2.0,5.0,5.0,3.0,2.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,,3.0,3.0,3.0,Sarathi,Ncell,,No,No,1000000.0,16,18,21,23,27,27,25,25,24,23,22,16
25,Lviv,Ukraine,https://nomadlist.com/assets/img/places/lviv-ukraine-500px.jpg,4.11,4,3,973.0,25.0,4.0,Okay,4.0,3.0,5.0,1.0,3.0,3.0,1.0,4.0,3.0,5.0,5.0,4.0,2.0,3.0,1.0,3.0,Uber,Lifecell,No,Yes,No,720000.0,-2,3,8,13,16,24,21,24,19,18,11,4
26,Brasov,Romania,https://nomadlist.com/assets/img/places/brasov-romania-500px.jpg,4.1,4,3,1896.0,31.0,3.0,Good,4.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,1.0,3.0,Uber,Orange,No,Yes,No,250000.0,2,4,10,14,17,24,23,26,22,19,14,6
27,Vancouver,Canada,https://nomadlist.com/assets/img/places/vancouver-canada-500px.jpg,4.09,4,4,3070.0,29.0,3.0,Good,4.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,Uber,Wind,No,Yes,Yes,630000.0,8,4,11,13,18,20,22,23,18,13,11,7
28,"Seattle, WA",United States,https://nomadlist.com/assets/img/places/seattle-wa-united-states-500px.jpg,4.08,4,4,3819.0,70.0,3.0,Good,4.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,Uber,ATT,No,Yes,Yes,700000.0,9,5,12,14,18,20,22,23,19,13,11,8
29,Sofia,Bulgaria,https://nomadlist.com/assets/img/places/sofia-bulgaria-500px.jpg,4.08,4,3,1355.0,24.0,4.0,Good,4.0,3.0,5.0,4.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,1.0,3.0,TaxiMe,Mtel,No,,Yes,1200000.0,1,7,15,17,20,26,28,30,26,21,13,6
30,Saint Petersburg,Russia,https://nomadlist.com/assets/img/places/saint-petersburg-russia-500px.jpg,4.07,4,3,1355.0,15.0,4.0,Okay,4.0,3.0,5.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,1.0,3.0,Yandex,Megafon,No,Yes,No,5200000.0,-5,0,2,10,15,20,18,20,12,7,3,2
31,"Austin, TX",United States,https://nomadlist.com/assets/img/places/austin-tx-united-states-500px.jpg,4.06,4,4,3435.0,71.0,5.0,Good,4.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,Uber,ATT,No,Yes,Yes,950000.0,14,16,21,25,27,31,33,35,33,27,18,18
32,Puerto Vallarta,Mexico,https://nomadlist.com/assets/img/places/puerto-vallarta-mexico-500px.jpg,4.06,4,3,1352.0,22.0,3.0,Good,3.0,3.0,5.0,2.0,3.0,,4.0,2.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,Uber,Telcel,No,No,No,200000.0,28,27,28,28,29,31,31,31,30,30,30,28
33,São Paulo,Brazil,https://nomadlist.com/assets/img/places/sao-paulo-brazil-500px.jpg,4.02,4,3,1194.0,22.0,5.0,Bad,3.0,2.0,5.0,3.0,2.0,5.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,Uber,Vivo,No,Yes,No,12000000.0,30,27,26,27,25,23,22,22,23,27,25,27
34,Kiev,Ukraine,https://nomadlist.com/assets/img/places/kiev-ukraine-500px.jpg,4.06,4,3,1535.0,31.0,4.0,Okay,4.0,3.0,5.0,1.0,3.0,5.0,1.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,1.0,3.0,Uber,Lifecell,No,Yes,No,2900000.0,-4,1,7,14,21,27,22,25,20,15,8,3
35,Seoul,South Korea,https://nomadlist.com/assets/img/places/seoul-south-korea-500px.jpg,4.04,4,4,2221.0,19.0,4.0,Good,4.0,3.0,2.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,3.0,3.0,Kakao,KT,No,Yes,Yes,9800000.0,1,2,9,15,23,24,27,29,26,19,11,4
36,Yangon,Myanmar,https://nomadlist.com/assets/img/places/yangon-myanmar-500px.jpg,4.04,3,3,1122.0,8.0,5.0,Good,2.0,3.0,3.0,3.0,3.0,,2.0,2.0,4.0,5.0,4.0,,,4.0,2.0,3.0,Grab,MPT,No,,No,5200000.0,30,33,34,37,34,29,28,28,29,32,31,30
37,Sarajevo,Bosnia,https://nomadlist.com/assets/img/places/sarajevo-bosnia-500px.jpg,3.96,4,3,1206.0,17.0,2.0,Good,3.0,3.0,5.0,3.0,3.0,1.0,,4.0,5.0,5.0,5.0,4.0,,3.0,1.0,3.0,MojTaxi,BH,,,Yes,530000.0,2,7,13,15,16,26,25,27,22,20,14,7
38,Stockholm,Sweden,https://nomadlist.com/assets/img/places/stockholm-sweden-500px.jpg,4.03,4,4,3485.0,36.0,4.0,Good,4.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,Uber,Comviq,No,Yes,Yes,790000.0,-1,4,4,10,14,21,20,20,16,9,5,4
39,Sydney,Australia,https://nomadlist.com/assets/img/places/sydney-australia-500px.jpg,4.04,4,4,3522.0,15.0,3.0,Good,5.0,5.0,2.0,4.0,3.0,4.0,5.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,Uber,Optus,No,Yes,Yes,4300000.0,28,26,25,24,21,17,17,17,19,22,24,25
40,"Portland, OR",United States,https://nomadlist.com/assets/img/places/portland-or-united-states-500px.jpg,4.02,4,4,3225.0,65.0,5.0,Good,4.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,Uber,TMobile,No,Yes,Yes,640000.0,8,6,12,15,20,22,24,25,20,15,11,8
41,Da Nang,Vietnam,https://nomadlist.com/assets/img/places/da-nang-vietnam-500px.jpg,4.0,3,3,954.0,16.0,3.0,Good,2.0,3.0,5.0,3.0,2.0,,2.0,3.0,4.0,5.0,4.0,1.0,3.0,3.0,2.0,3.0,Grab,Viettel,No,Yes,No,1000000.0,25,28,29,31,32,34,33,33,30,29,27,25
